z	name	symbol	group	period	mass	density	volume	atomic_radii	van_der_waals_radii	covalent_radii	melt	boil	specific_heat	electronegativity	first_ionization_energy	s_elec	p_elec	d_elec	f_elec	production	radioactive	scattering_factors	HHI_P	HHI_R
41	Niobium	Nb	5	5	92.9064025879	8.56999969482	18.2600002289	145	-1	137	2741.14990234	5017	0.264999985695	1.60000002384	6.75885009766	1	0	4	0	20	0	{'a1': 17.614201, 'c': 3.75591, 'b4': 69.7957, 'a3': 4.04183, 'a2': 12.0144, 'a4': 3.53346, 'b2': 11.766, 'b3': 0.204785, 'b1': 1.18865}	8500	8800
60	Neodymium	Nd	0	6	144.242004395	7.00699996948	35.2599983215	185	-1	-1	1289.15002441	3347	0.189999997616	1.13999998569	5.52500009537	2	0	0	4	41.5	0	{'a1': 22.6845, 'c': 1.98486, 'b4': 137.903, 'a3': 12.774, 'a2': 19.6847, 'a4': 2.85137, 'b2': 0.210628, 'b3': 15.885, 'b1': 2.66248}	9500	3100
10	Neon	Ne	18	2	20.1797008514	0.000899899983779	16.3199996948	38	154	69	24.702999115	27.0699996948	1.02999997139	0	21.5645999908	0	0	0	0	0.00499999988824	0	{'a1': 3.9553, 'c': 0.3515, 'b4': 21.718399, 'a3': 1.4546, 'a2': 3.1125, 'a4': 1.1251, 'b2': 3.4262, 'b3': 0.2306, 'b1': 8.4042}	0	0
28	Nickel	Ni	10	4	58.6934013367	8.91199970245	10.720000267	135	-1	126	1726.15002441	3186	0.444000005722	1.90999996662	7.88100004196	2	0	8	0	84	0	{'a1': 12.8376, 'c': 1.0341, 'b4': 66.342102, 'a3': 4.4438, 'a2': 7.292, 'a4': 2.38, 'b2': 0.2565, 'b3': 12.1763, 'b1': 3.8785}	1000	1500
102	Nobelium	No	0	7	259	-1	-1	-1	-1	-1	-1	-1	-1	1.29999995232	6.65000009537	0	0	0	0	0	0	NULL	0	0
93	Neptunium	Np	0	7	237	20.4500007629	18.4587001801	175	-1	-1	913.150024414	4273	-1	1.36000001431	6.26569986343	2	0	1	4	0.0010000000475	0	{'a1': 36.187401, 'c': 13.3573, 'b4': 97.490799, 'a3': 15.6402, 'a2': 23.596399, 'a4': 4.1855, 'b2': 3.25396, 'b3': 15.3622, 'b1': 0.511929}	0	0
8	Oxygen	O	16	2	15.9994001389	0.00142900005449	9.55875015259	60	152	73	50.5	90.1999969482	0.917999982834	3.44000005722	13.6181001663	4	4	0	0	461000	0	{'a1': 3.0485, 'c': 0.2508, 'b4': 32.908901, 'a3': 1.5463, 'a2': 2.2868, 'a4': 0.867, 'b2': 5.7011, 'b3': 0.3239, 'b1': 13.2771}	500	500
76	Osmium	Os	8	6	190.229995728	22.6100006104	14.2650003433	130	-1	128	3300.14990234	5285	0.129999995232	2.20000004768	8.43819999695	2	0	6	14	0.00200000009499	0	{'a1': 28.1894, 'c': 11.0005, 'b4': 48.1647, 'a3': 14.9305, 'a2': 16.155001, 'a4': 5.67589, 'b2': 8.97948, 'b3': 0.382661, 'b1': 1.62903}	5500	9100
15	Phosphorus	P	15	3	30.9738006592	1.82000005245	23.8129005432	100	180	106	317.25	553	0.768999993801	2.19000005722	10.486700058	2	3	0	0	1050	0	{'a1': 6.4345, 'c': 1.1149, 'b4': 68.164497, 'a3': 1.78, 'a2': 4.1791, 'a4': 1.4908, 'b2': 27.157, 'b3': 0.526, 'b1': 1.9067}	2000	5100
91	Protactinium	Pa	0	7	231.035995483	15.3699998856	24.7399997711	180	-1	-1	1873.15002441	4300	-1	1.5	5.88999986649	2	0	1	2	0.0010000000475	0	{'a1': 35.884701, 'c': 13.4287, 'b4': 105.250999, 'a3': 14.1891, 'a2': 23.2948, 'a4': 4.17287, 'b2': 3.41519, 'b3': 16.9235, 'b1': 0.547751}	0	0
